Subspecies	Sex	Source	VoucherID	Longitude	Latitude	Mass	Wing	Tail	Culmen	mPC1	mPC2	mPC3	bio1	bio3	bio7	bio12	bio15	bio18	Altitude	cPC1	cPC2	cPC3	cPC4
White	Male	Net	NA	-74.65141	4.3512	13.58	48	27	9.7	-1.7369806755517	-1.14287679108501	0.677931769763358	270	86	129	1375	46	277	383.5	-3.69105996261743	-1.15688281636756	0.464127672176807	1.84806910658688
White	Unknown	Net	NA	-74.65141	4.3512	13.62	49	30	8.7	-1.15717182525403	0.125420317904592	-0.431953355604688	270	86	129	1375	46	277	383.5	-3.69105996261743	-1.15688281636756	0.464127672176807	1.84806910658688
White	Male	Net	NA	-74.65141	4.3512	15.19	49	29	9.1	-1.23736141815732	-0.158667391739562	0.0525488527792316	270	86	129	1375	46	277	383.5	-3.69105996261743	-1.15688281636756	0.464127672176807	1.84806910658688
White	Male	Net	NA	-74.864221	5.03807	15.08	49	27	9.7	-1.53875180804887	0.18394417886797	1.23980304516238	273	85	123	1618	47	343	258.5	-3.5678935172346	-0.213639775918994	0.266941284811053	1.01580563304205
White	Male	Net	NA	-74.864221	5.03807	15.96	50	29	10	-0.598125793086172	0.311267882307032	1.31862375171596	273	85	123	1618	47	343	258.5	-3.5678935172346	-0.213639775918994	0.266941284811053	1.01580563304205
White	Male	Net	NA	-74.864221	5.03807	17.58	51	29	9.8	-0.375589586056307	-0.220038451669584	0.658339965937155	273	85	123	1618	47	343	258.5	-3.5678935172346	-0.213639775918994	0.266941284811053	1.01580563304205
White	Female	Net	NA	-74.864221	5.03807	15.95	51	30	8.8	-0.593436657798848	0.702840883550177	-0.260499499517595	273	85	123	1618	47	343	258.5	-3.5678935172346	-0.213639775918994	0.266941284811053	1.01580563304205
White	Unknown	Net	NA	-74.78178	5.66584	18	49	27	8.3	-2.22745042622198	1.5619004802588	0.16779640318438	276	88	117	2213	47	476	183	-2.76986575005879	1.23803388817235	0.471788139607557	1.15241941241544
White	Male	Net	NA	-74.78178	5.66584	15.37	49	30	9.4	-0.901530027373904	0.922201056578919	0.876950121712335	276	88	117	2213	47	476	183	-2.76986575005879	1.23803388817235	0.471788139607557	1.15241941241544
White	Unknown	Net	NA	-74.78178	5.66584	16.6	50	28	8	-1.76159373536489	0.758915310738804	-0.882782350949656	276	88	117	2213	47	476	183	-2.76986575005879	1.23803388817235	0.471788139607557	1.15241941241544
White	Male	Net	NA	-74.78178	5.66584	17.88	50	28	9	-1.29040297175702	0.121981069598022	0.0636146376567652	276	88	117	2213	47	476	183	-2.76986575005879	1.23803388817235	0.471788139607557	1.15241941241544
White	Male	Net	NA	-74.78178	5.66584	16.63	51	29	9	-0.754155060782717	0.316522739231583	-0.0847248948329276	276	88	117	2213	47	476	183	-2.76986575005879	1.23803388817235	0.471788139607557	1.15241941241544
White	Unknown	Net	NA	-74.78178	5.66584	14.32	52	28	9.7	-0.408470341654549	-0.277062465188761	0.493746624376499	276	88	117	2213	47	476	183	-2.76986575005879	1.23803388817235	0.471788139607557	1.15241941241544
White	Unknown	Net	NA	-74.78178	5.66584	15.9	52	31	10.4	0.724135160230033	-0.580946798446704	0.866499737807053	276	88	117	2213	47	476	183	-2.76986575005879	1.23803388817235	0.471788139607557	1.15241941241544
White	Unknown	Net	NA	-74.78178	5.66584	14.6	52	31	8.3	-0.312944926629937	1.55352214861089	-0.706378399872311	276	88	117	2213	47	476	183	-2.76986575005879	1.23803388817235	0.471788139607557	1.15241941241544
White	Unknown	Net	NA	-74.78178	5.66584	16.6	54	30	8.4	-0.0227142490415439	2.18267009503426	-0.386822940498703	276	88	117	2213	47	476	183	-2.76986575005879	1.23803388817235	0.471788139607557	1.15241941241544
