"Gbif_ID","Kingdom","Phylum","Class","Order","Family","Genus","Especies","Latitude","Longitude"
1060485917,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.2688,-73.4669
1208659419,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.35081,-74.5227
258249511,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.44803,-75.1133
373652156,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.00883,-75.0851
956813700,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.9288,-74.8395
1188314419,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.98878,-75.1202
590903504,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1436,-74.1187
1185107162,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",10.9911,-74.0634
1204988461,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.81548,-75.1509
860892406,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.665,-74.78306
857526481,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.25067,-74.663
857622548,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.96667,-74.43333
857526519,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.96731,-74.96328
857647452,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.5524,-75.2124
857645385,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.2702,-75.1911
857609463,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.03366,-75.15
857609322,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.283,-75.56733
857609404,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",8.35,-75.1
857713191,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.28496,-74.00263
857645008,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.83383,-74.86769
857698684,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.5833,-74.9167
857526478,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.83333,-74.86667
